phc_id,phc_name,state,district,latitude,longitude,facility_type,total_beds,occupied_beds,icu_beds
PHC-077,Gwalior Central Health Centre,Madhya Pradesh,Gwalior,23.1464,78.4809,Rural,109,82,7
PHC-078,Thrissur Central Health Centre,Kerala,Thrissur,10.8631,75.5728,Urban,100,72,9
PHC-079,Nizamabad Central Health Centre,Telangana,Nizamabad,18.5542,79.7309,Urban,67,45,2
PHC-080,Bhubaneswar Rural Health Centre,Odisha,Bhubaneswar,20.8032,85.654,Rural,29,21,0
PHC-081,Nagpur Central Health Centre,Maharashtra,Nagpur,18.8392,72.619,Urban,65,35,0
PHC-082,Agra Rural Health Centre,Uttar Pradesh,Agra,26.3986,80.6371,Rural,29,18,0
PHC-083,Coimbatore Rural Health Centre,Tamil Nadu,Coimbatore,11.332,77.6582,Urban,105,71,9
PHC-084,Malda Central Health Centre,West Bengal,Malda,23.439,86.9965,District Hospital,99,78,2
PHC-085,Kota Central Health Centre,Rajasthan,Kota,26.1722,73.9838,District Hospital,47,32,0
PHC-086,Mangalore Central Health Centre,Karnataka,Mangalore,14.4558,76.5617,Urban,80,51,10
PHC-087,Gaya Central Health Centre,Bihar,Gaya,24.2781,85.4108,Urban,74,71,7
PHC-088,Vadodara Central Health Centre,Gujarat,Vadodara,23.1807,71.7178,Urban,63,46,10
PHC-089,Indore Central Health Centre,Madhya Pradesh,Indore,23.2658,77.682,District Hospital,117,90,8
PHC-090,Kochi Central Health Centre,Kerala,Kochi,11.3387,76.5844,Urban,136,112,4
PHC-091,Nizamabad Central Health Centre,Telangana,Nizamabad,17.9012,79.4645,Rural,111,75,4
PHC-092,Puri Central Health Centre,Odisha,Puri,21.1976,84.0287,Urban,31,20,0
PHC-093,Thane Central Health Centre,Maharashtra,Thane,18.4713,72.235,Rural,109,76,8
PHC-094,Agra Central Health Centre,Uttar Pradesh,Agra,25.9193,80.173,Urban,105,66,9
PHC-095,Coimbatore Rural Health Centre,Tamil Nadu,Coimbatore,11.5946,77.6488,Rural,61,32,9
PHC-096,Howrah Central Health Centre,West Bengal,Howrah,23.5591,87.7403,District Hospital,135,128,8
PHC-097,Kota Rural Health Centre,Rajasthan,Kota,27.956,73.4959,Rural,28,21,0
PHC-098,Bangalore Rural Health Centre,Karnataka,Bangalore,16.255,76.4486,District Hospital,92,63,4
PHC-099,Patna Rural Health Centre,Bihar,Patna,24.7464,85.7659,Urban,141,118,1
PHC-100,Ahmedabad Central Health Centre,Gujarat,Ahmedabad,21.478,70.9839,District Hospital,142,97,5
PHC-101,Indore Central Health Centre,Madhya Pradesh,Indore,21.9087,79.0507,District Hospital,92,59,8
PHC-102,Kochi Central Health Centre,Kerala,Kochi,11.6865,75.9122,Urban,89,70,10
PHC-103,Karimnagar Rural Health Centre,Telangana,Karimnagar,18.1134,78.9828,Urban,140,100,2
PHC-104,Bhubaneswar Central Health Centre,Odisha,Bhubaneswar,21.3354,85.1564,Urban,77,58,1
PHC-105,Thane Rural Health Centre,Maharashtra,Thane,19.5941,72.6211,Urban,58,37,3
PHC-106,Varanasi Central Health Centre,Uttar Pradesh,Varanasi,25.8696,81.3789,Rural,98,59,9
PHC-107,Trichy Rural Health Centre,Tamil Nadu,Trichy,10.9206,79.4788,District Hospital,53,43,10
PHC-108,Darjeeling Central Health Centre,West Bengal,Darjeeling,23.4849,86.8575,Rural,68,47,6
PHC-109,Jaipur Central Health Centre,Rajasthan,Jaipur,27.8056,73.7264,Urban,112,93,4
PHC-110,Bangalore Rural Health Centre,Karnataka,Bangalore,15.2597,75.9567,District Hospital,137,110,10
PHC-111,Bhagalpur Rural Health Centre,Bihar,Bhagalpur,25.2591,85.3494,Urban,59,49,8
PHC-112,Vadodara Rural Health Centre,Gujarat,Vadodara,22.8319,71.4921,Rural,23,14,0
PHC-113,Bhopal Central Health Centre,Madhya Pradesh,Bhopal,22.5783,78.8042,District Hospital,149,137,10
PHC-114,Kozhikode Central Health Centre,Kerala,Kozhikode,9.8839,75.4108,Rural,46,37,0
PHC-115,Karimnagar Central Health Centre,Telangana,Karimnagar,18.3878,79.9752,District Hospital,57,44,7
PHC-116,Cuttack Rural Health Centre,Odisha,Cuttack,20.8086,84.2931,Urban,69,67,5
PHC-117,Thane Central Health Centre,Maharashtra,Thane,19.2729,73.5234,Rural,53,41,8
PHC-118,Lucknow Rural Health Centre,Uttar Pradesh,Lucknow,26.1384,81.129,Rural,98,57,10
PHC-119,Madurai Rural Health Centre,Tamil Nadu,Madurai,10.6785,79.5442,Urban,138,115,9
PHC-120,Howrah Central Health Centre,West Bengal,Howrah,22.283,88.4326,District Hospital,91,70,5
PHC-121,Jaipur Rural Health Centre,Rajasthan,Jaipur,26.3938,73.8584,District Hospital,128,107,3
PHC-122,Hubli Central Health Centre,Karnataka,Hubli,15.0108,75.6628,Rural,52,39,4
PHC-123,Gaya Rural Health Centre,Bihar,Gaya,24.3982,84.8682,Urban,112,68,0
PHC-124,Surat Rural Health Centre,Gujarat,Surat,22.1285,70.7436,District Hospital,150,104,8
PHC-125,Gwalior Central Health Centre,Madhya Pradesh,Gwalior,23.5909,77.9813,Rural,97,76,10
PHC-126,Kochi Rural Health Centre,Kerala,Kochi,10.869,75.5767,District Hospital,72,60,1
PHC-127,Hyderabad Rural Health Centre,Telangana,Hyderabad,17.6758,79.962,District Hospital,30,23,0
PHC-128,Rourkela Rural Health Centre,Odisha,Rourkela,21.5831,84.3412,Rural,55,39,4
PHC-129,Thane Rural Health Centre,Maharashtra,Thane,19.2999,72.738,Rural,76,46,4
PHC-130,Lucknow Central Health Centre,Uttar Pradesh,Lucknow,26.8786,81.7133,Rural,104,71,3
PHC-131,Chennai Central Health Centre,Tamil Nadu,Chennai,11.0072,78.3503,Rural,85,59,4
PHC-132,Darjeeling Rural Health Centre,West Bengal,Darjeeling,23.8354,88.117,Urban,84,64,8
PHC-133,Udaipur Central Health Centre,Rajasthan,Udaipur,26.019,73.7322,District Hospital,144,139,1
PHC-134,Mysore Central Health Centre,Karnataka,Mysore,16.2101,75.6643,Rural,139,89,7
PHC-135,Patna Rural Health Centre,Bihar,Patna,25.0766,85.2212,Urban,76,47,0
PHC-136,Surat Central Health Centre,Gujarat,Surat,23.177,70.3952,Urban,46,24,0
PHC-137,Bhopal Central Health Centre,Madhya Pradesh,Bhopal,23.0982,77.9599,Urban,50,32,0
PHC-138,Thiruvananthapuram Central Health Centre,Kerala,Thiruvananthapuram,10.8718,75.3411,District Hospital,128,106,2
PHC-139,Karimnagar Central Health Centre,Telangana,Karimnagar,17.6181,79.5733,District Hospital,123,60,2
PHC-140,Bhubaneswar Central Health Centre,Odisha,Bhubaneswar,20.3885,85.478,District Hospital,128,99,5
PHC-141,Nagpur Rural Health Centre,Maharashtra,Nagpur,18.0138,73.5389,Urban,59,41,7
PHC-142,Kanpur Rural Health Centre,Uttar Pradesh,Kanpur,27.2023,80.9047,District Hospital,129,118,1
PHC-143,Trichy Central Health Centre,Tamil Nadu,Trichy,10.1876,77.9834,Urban,71,52,2
PHC-144,Howrah Rural Health Centre,West Bengal,Howrah,22.9692,86.8028,District Hospital,83,70,3
PHC-145,Udaipur Rural Health Centre,Rajasthan,Udaipur,27.2066,73.9558,Rural,55,42,0
PHC-146,Mangalore Central Health Centre,Karnataka,Mangalore,16.0862,76.0743,Urban,66,50,2
PHC-147,Gaya Central Health Centre,Bihar,Gaya,24.6987,85.9975,Rural,48,19,0
PHC-148,Surat Central Health Centre,Gujarat,Surat,21.6378,70.4674,District Hospital,74,51,0
PHC-149,Gwalior Central Health Centre,Madhya Pradesh,Gwalior,23.4501,77.6474,Urban,45,32,0
PHC-150,Thrissur Rural Health Centre,Kerala,Thrissur,11.6343,75.458,District Hospital,122,85,9
